fixture_id,date,round,status,home_team,away_team,home_goals,away_goals,winner,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_passes,away_passes,home_corners,away_corners,source
191746,2026-06-11T20:00:00+01:00,Group A,FT,Mexico,South Africa,2,0,home,61,39,16,3,4,2,520,334,3,1,TheStatsZone
191784,2026-06-12T03:00:00+01:00,Group A,FT,Korea Republic,Czechia,2,1,home,62,38,15,7,6,4,541,327,4,5,TheStatsZone
191772,2026-06-12T20:00:00+01:00,Group B,FT,Canada,Bosnia and Herzegovina,1,1,draw,61,39,13,8,4,3,421,271,9,4,TheStatsZone
191790,2026-06-13T02:00:00+01:00,Group D,FT,USA,Paraguay,4,1,home,65,35,16,9,6,1,598,319,3,1,TheStatsZone
191788,2026-06-13T20:00:00+01:00,Group B,FT,Qatar,Switzerland,1,1,draw,32,68,6,26,3,7,278,576,3,10,TheStatsZone
191786,2026-06-13T23:00:00+01:00,Group C,FT,Brazil,Morocco,1,1,draw,51,49,12,14,5,3,514,486,6,2,TheStatsZone
191770,2026-06-14T02:00:00+01:00,Group C,FT,Haiti,Scotland,0,1,away,54,46,15,9,2,2,431,374,4,3,TheStatsZone
191768,2026-06-14T05:00:00+01:00,Group D,FT,Australia,Türkiye,2,0,home,28,72,9,30,4,8,271,704,5,8,TheStatsZone
191776,2026-06-14T18:00:00+01:00,Group E,FT,Germany,Curacao,7,1,home,65,35,26,8,12,2,637,343,8,1,TheStatsZone
191782,2026-06-14T21:00:00+01:00,Group F,FT,Netherlands,Japan,2,2,draw,60,40,10,10,6,3,524,341,5,4,TheStatsZone
191774,2026-06-15T00:00:00+01:00,Group E,FT,Côte d'Ivoire,Ecuador,1,0,home,48,52,15,12,4,1,470,492,3,5,TheStatsZone
191744,2026-06-15T03:00:00+01:00,Group F,FT,Sweden,Tunisia,5,1,home,49,51,13,6,7,2,356,371,4,2,TheStatsZone
191748,2026-06-15T17:00:00+01:00,Group H,FT,Spain,Cabo Verde,0,0,draw,74,26,27,6,7,1,800,278,11,1,TheStatsZone
191760,2026-06-15T20:00:00+01:00,Group G,FT,Belgium,Egypt,1,1,draw,54,46,15,14,3,3,455,398,2,7,TheStatsZone
191756,2026-06-15T23:00:00+01:00,Group H,FT,Saudi Arabia,Uruguay,1,1,draw,33,67,7,27,3,10,322,612,4,14,TheStatsZone
191764,2026-06-16T02:00:00+01:00,Group G,FT,IR Iran,New Zealand,2,2,draw,49,51,17,14,4,8,409,446,4,1,TheStatsZone
191750,2026-06-16T20:00:00+01:00,Group I,FT,France,Senegal,3,1,home,53,47,11,6,8,2,575,502,6,4,TheStatsZone
191778,2026-06-16T23:00:00+01:00,Group I,FT,Iraq,Norway,1,4,away,39,61,11,12,1,5,334,537,2,5,TheStatsZone
191758,2026-06-17T02:00:00+01:00,Group J,FT,Argentina,Algeria,3,0,home,48,52,10,7,6,0,561,609,2,2,TheStatsZone
191754,2026-06-17T05:00:00+01:00,Group J,FT,Austria,Jordan,3,1,home,63,37,11,11,4,4,580,332,4,3,TheStatsZone
191780,2026-06-17T18:00:00+01:00,Group K,FT,Portugal,Congo DR,1,1,draw,75,25,7,8,1,2,783,249,5,4,TheStatsZone
191752,2026-06-17T21:00:00+01:00,Group L,FT,England,Croatia,4,2,home,52,48,22,10,11,5,474,443,8,2,TheStatsZone
191762,2026-06-18T00:00:00+01:00,Group L,FT,Ghana,Panama,1,0,home,38,62,7,11,2,4,352,583,2,2,TheStatsZone
191766,2026-06-18T03:00:00+01:00,Group K,FT,Uzbekistan,Colombia,1,3,away,39,61,8,15,2,4,319,519,3,4,TheStatsZone
191818,2026-06-18T17:00:00+01:00,Group A,FT,Czechia,South Africa,1,1,draw,38,62,14,17,3,4,341,563,5,5,TheStatsZone
191808,2026-06-18T20:00:00+01:00,Group B,FT,Switzerland,Bosnia and Herzegovina,4,1,home,62,38,13,5,7,3,586,354,7,3,TheStatsZone
191816,2026-06-18T23:00:00+01:00,Group B,FT,Canada,Qatar,6,0,home,79,21,32,2,10,0,567,162,19,1,TheStatsZone
191806,2026-06-19T02:00:00+01:00,Group A,FT,Mexico,Korea Republic,1,0,home,42,58,8,9,4,2,427,578,0,2,TheStatsZone
191800,2026-06-19T20:00:00+01:00,Group D,FT,USA,Australia,2,0,home,62,38,10,5,2,2,523,310,7,4,TheStatsZone
191836,2026-06-19T23:00:00+01:00,Group C,FT,Scotland,Morocco,0,1,away,41,59,6,12,0,2,456,670,2,5,TheStatsZone
191812,2026-06-20T01:30:00+01:00,Group C,FT,Brazil,Haiti,3,0,home,57,43,8,7,5,3,525,399,4,4,TheStatsZone
191832,2026-06-20T04:00:00+01:00,Group D,FT,Türkiye,Paraguay,0,1,away,79,21,32,7,5,2,629,178,12,0,TheStatsZone
191814,2026-06-20T18:00:00+01:00,Group F,FT,Netherlands,Sweden,5,1,home,51,49,10,16,7,8,449,425,2,5,TheStatsZone
191824,2026-06-20T21:00:00+01:00,Group E,FT,Germany,Côte d'Ivoire,2,1,home,60,40,16,9,7,2,624,431,8,3,TheStatsZone
191834,2026-06-21T01:00:00+01:00,Group E,FT,Ecuador,Curacao,0,0,draw,75,25,27,10,15,3,644,227,9,0,TheStatsZone
191830,2026-06-21T05:00:00+01:00,Group F,FT,Tunisia,Japan,0,4,away,38,62,2,11,0,5,354,583,3,5,TheStatsZone
191828,2026-06-21T17:00:00+01:00,Group H,FT,Spain,Saudi Arabia,4,0,home,67,33,22,3,8,1,726,364,6,1,TheStatsZone
191794,2026-06-21T20:00:00+01:00,Group G,FT,Belgium,IR Iran,0,0,draw,70,30,23,7,7,3,621,270,4,2,TheStatsZone
191820,2026-06-21T23:00:00+01:00,Group H,FT,Uruguay,Cabo Verde,2,2,draw,65,35,17,12,2,4,511,278,11,4,TheStatsZone
191804,2026-06-22T02:00:00+01:00,Group G,FT,New Zealand,Egypt,1,3,away,44,56,11,19,5,7,421,526,4,3,TheStatsZone
191802,2026-06-22T18:00:00+01:00,Group J,FT,Argentina,Austria,2,0,home,54,46,12,6,5,1,554,468,1,3,TheStatsZone
191838,2026-06-22T22:00:00+01:00,Group I,FT,France,Iraq,3,0,home,56,44,19,4,5,0,603,481,4,2,TheStatsZone
191798,2026-06-23T01:00:00+01:00,Group I,FT,Norway,Senegal,3,2,home,42,58,13,16,7,4,353,489,5,4,TheStatsZone
191792,2026-06-23T04:00:00+01:00,Group J,FT,Jordan,Algeria,1,2,away,28,72,8,17,4,8,251,641,1,10,TheStatsZone
191826,2026-06-23T18:00:00+01:00,Group K,FT,Portugal,Uzbekistan,5,0,home,66,34,17,7,9,2,624,327,3,2,TheStatsZone
191796,2026-06-23T21:00:00+01:00,Group L,FT,England,Ghana,0,0,draw,79,21,19,2,3,1,633,172,9,2,TheStatsZone
191810,2026-06-24T00:00:00+01:00,Group L,FT,Panama,Croatia,0,1,away,42,58,8,6,1,2,352,512,7,2,TheStatsZone
191822,2026-06-24T03:00:00+01:00,Group K,FT,Colombia,Congo DR,1,0,home,64,36,20,7,9,1,541,299,5,4,TheStatsZone
191864,2026-06-24T20:00:00+01:00,Group B,FT,Switzerland,Canada,2,1,home,55,45,6,13,4,7,443,339,2,7,TheStatsZone
191844,2026-06-24T20:00:00+01:00,Group B,FT,Bosnia and Herzegovina,Qatar,3,1,home,54,46,14,9,5,3,515,434,5,5,TheStatsZone
191866,2026-06-24T23:00:00+01:00,Group C,FT,Scotland,Brazil,0,3,away,46,54,14,21,5,9,499,606,7,6,TheStatsZone
191856,2026-06-24T23:00:00+01:00,Group C,FT,Morocco,Haiti,4,2,home,69,31,22,9,11,2,541,247,9,1,TheStatsZone
191854,2026-06-25T02:00:00+01:00,Group A,FT,Czechia,Mexico,0,3,away,52,48,13,11,1,5,398,386,5,1,TheStatsZone
191878,2026-06-25T02:00:00+01:00,Group A,FT,South Africa,Korea Republic,1,0,home,32,68,13,8,4,3,340,719,4,6,TheStatsZone
191842,2026-06-25T21:00:00+01:00,Group E,FT,Ecuador,Germany,2,1,home,39,61,7,11,3,3,378,592,3,2,TheStatsZone
191880,2026-06-25T21:00:00+01:00,Group E,FT,Curacao,Côte d'Ivoire,0,2,away,37,63,11,7,2,3,355,624,4,6,TheStatsZone
191872,2026-06-26T00:00:00+01:00,Group F,FT,Tunisia,Netherlands,1,3,away,29,71,10,20,4,7,258,647,4,6,TheStatsZone
191848,2026-06-26T00:00:00+01:00,Group F,FT,Japan,Sweden,1,1,draw,52,48,8,11,3,5,445,395,2,8,TheStatsZone
191884,2026-06-26T03:00:00+01:00,Group D,FT,Türkiye,USA,3,2,home,47,53,9,18,3,7,434,471,2,9,TheStatsZone
